"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2024","157.136","159.057","161.878","155.594","4.46M","-1.22%"
"08/25/2024","159.083","160.667","161.951","155.331","3.56M","-0.99%"
"08/24/2024","160.667","153.150","162.146","152.014","5.21M","4.91%"
"08/23/2024","153.150","143.214","153.757","142.743","5.26M","6.95%"
"08/22/2024","143.194","142.719","144.780","140.820","2.73M","0.33%"
"08/21/2024","142.726","142.287","144.328","139.003","3.81M","0.30%"
"08/20/2024","142.295","144.308","148.629","141.173","4.35M","-1.39%"
"08/19/2024","144.304","142.406","145.548","140.390","3.98M","1.32%"
"08/18/2024","142.420","141.932","146.997","140.759","3.83M","0.36%"
"08/17/2024","141.914","139.044","141.941","137.664","2.34M","2.06%"
"08/16/2024","139.044","142.491","144.836","136.226","5.55M","-2.41%"
"08/15/2024","142.479","143.763","147.433","138.086","6.05M","-0.89%"
"08/14/2024","143.765","146.668","151.866","142.582","5.48M","-1.98%"
"08/13/2024","146.663","146.321","149.722","143.011","4.04M","0.23%"
"08/12/2024","146.321","141.455","150.688","141.419","6.77M","3.45%"
"08/11/2024","141.440","154.018","157.798","141.243","4.84M","-8.17%"
"08/10/2024","154.016","156.247","158.452","152.716","2.91M","-1.43%"
"08/09/2024","156.247","162.990","163.485","151.041","6.31M","-4.10%"
"08/08/2024","162.920","144.623","163.291","141.490","10.70M","12.81%"
"08/07/2024","144.422","144.429","154.964","142.476","11.67M","0.03%"
"08/06/2024","144.385","129.702","149.307","129.529","11.68M","11.32%"
"08/05/2024","129.702","138.288","139.091","110.155","34.18M","-6.13%"
"08/04/2024","138.174","142.442","146.004","131.836","9.60M","-3.00%"
"08/03/2024","142.442","152.837","153.893","140.109","7.40M","-6.80%"
"08/02/2024","152.837","167.480","169.337","150.067","8.07M","-8.76%"
"08/01/2024","167.504","171.678","172.776","158.034","8.05M","-2.43%"
"07/31/2024","171.678","179.084","184.270","171.678","4.87M","-4.12%"
"07/30/2024","179.061","182.550","184.683","175.628","4.55M","-1.94%"
"07/29/2024","182.606","184.906","193.890","181.681","5.72M","-1.24%"
"07/28/2024","184.904","183.818","186.579","181.303","2.79M","0.59%"
"07/27/2024","183.818","183.058","188.137","178.149","4.98M","0.42%"
"07/26/2024","183.058","171.842","183.506","171.842","4.41M","6.53%"
"07/25/2024","171.837","178.142","179.549","165.693","6.74M","-3.51%"
"07/24/2024","178.082","173.003","182.383","171.035","5.05M","2.94%"
"07/23/2024","173.000","178.961","180.495","170.868","5.13M","-3.33%"
"07/22/2024","178.958","184.414","184.860","176.837","4.47M","-2.96%"
"07/21/2024","184.414","173.614","184.959","170.733","5.01M","6.22%"
"07/20/2024","173.607","169.155","174.965","167.361","3.06M","2.63%"
"07/19/2024","169.153","159.214","171.244","156.287","6.56M","6.25%"
"07/18/2024","159.209","155.477","161.546","155.304","3.63M","2.50%"
"07/17/2024","155.325","160.620","163.602","154.712","4.10M","-3.24%"
"07/16/2024","160.527","159.614","162.444","152.744","5.54M","0.57%"
"07/15/2024","159.616","147.694","159.933","147.053","4.94M","8.08%"
"07/14/2024","147.687","141.884","148.536","141.884","4.19M","4.09%"
"07/13/2024","141.884","139.497","143.508","137.991","2.20M","1.71%"
"07/12/2024","139.497","135.734","140.504","134.091","4.19M","2.74%"
"07/11/2024","135.776","142.082","145.511","135.735","4.78M","-4.43%"
"07/10/2024","142.077","141.368","145.963","138.669","3.85M","0.50%"
"07/09/2024","141.368","139.713","144.039","136.548","4.78M","1.16%"
"07/08/2024","139.747","131.492","141.723","128.120","7.88M","6.30%"
"07/07/2024","131.462","143.101","143.288","131.355","3.76M","-8.16%"
"07/06/2024","143.147","134.306","144.084","132.452","4.11M","6.58%"
"07/05/2024","134.309","127.674","136.137","121.261","10.68M","5.20%"
"07/04/2024","127.674","140.774","142.676","127.292","7.37M","-9.29%"
"07/03/2024","140.744","153.905","154.439","139.490","6.14M","-8.55%"
"07/02/2024","153.909","146.671","154.946","146.142","4.07M","4.94%"
"07/01/2024","146.669","146.553","149.088","145.871","3.68M","0.07%"
"06/30/2024","146.560","140.189","147.427","137.177","3.35M","4.55%"
"06/29/2024","140.185","139.961","143.008","139.713","2.68M","0.18%"
"06/28/2024","139.930","149.713","150.387","139.015","5.03M","-6.53%"
"06/27/2024","149.703","136.793","150.960","135.224","6.31M","9.43%"
"06/26/2024","136.796","136.573","140.325","134.910","3.63M","0.16%"
"06/25/2024","136.573","132.326","139.822","131.208","6.08M","3.25%"
"06/24/2024","132.275","128.638","132.546","123.337","8.62M","2.82%"
"06/23/2024","128.644","133.692","135.071","128.219","2.44M","-3.77%"
"06/22/2024","133.689","134.529","136.625","133.101","1.97M","-0.63%"
"06/21/2024","134.536","133.527","135.309","128.772","4.77M","0.76%"
"06/20/2024","133.527","135.652","141.118","131.977","5.02M","-1.56%"
"06/19/2024","135.646","137.394","141.771","134.658","4.66M","-1.26%"
"06/18/2024","137.376","143.225","143.750","129.144","9.04M","-4.08%"
"06/17/2024","143.225","151.265","151.731","139.984","4.56M","-5.31%"
"06/16/2024","151.256","145.505","151.256","143.095","2.05M","3.96%"
"06/15/2024","145.500","143.056","145.687","142.962","1.94M","1.71%"
"06/14/2024","143.050","147.242","148.939","139.857","4.57M","-2.85%"
"06/13/2024","147.250","155.229","155.237","146.046","3.73M","-5.15%"
"06/12/2024","155.237","149.351","161.663","145.513","5.58M","3.94%"
"06/11/2024","149.351","159.048","159.644","145.666","5.57M","-6.10%"
"06/10/2024","159.049","162.129","163.123","157.623","2.59M","-1.90%"
"06/09/2024","162.136","157.818","163.014","156.625","2.18M","2.73%"
"06/08/2024","157.829","162.504","163.716","157.403","2.69M","-2.88%"
"06/07/2024","162.504","170.114","172.583","155.049","5.11M","-4.47%"
"06/06/2024","170.106","173.491","174.371","167.754","3.07M","-1.95%"
"06/05/2024","173.491","171.784","175.565","171.207","3.80M","1.00%"
"06/04/2024","171.778","164.898","171.859","164.446","3.29M","4.13%"
"06/03/2024","164.958","163.243","167.095","161.793","3.57M","1.05%"
"06/02/2024","163.241","166.116","167.055","161.415","2.61M","-1.73%"
"06/01/2024","166.116","165.580","167.857","165.580","1.65M","0.32%"
"05/31/2024","165.580","166.847","170.821","164.024","3.82M","-0.79%"
"05/30/2024","166.895","168.276","172.361","163.638","4.86M","-0.83%"
"05/29/2024","168.291","168.695","173.765","167.307","4.60M","-0.24%"
"05/28/2024","168.694","170.132","173.139","165.068","5.32M","-0.84%"
"05/27/2024","170.124","163.356","172.203","163.356","4.17M","4.14%"
"05/26/2024","163.354","168.379","168.388","161.180","4.30M","-2.99%"
"05/25/2024","168.385","167.775","170.406","166.077","3.03M","0.36%"
"05/24/2024","167.785","176.040","176.077","162.703","6.89M","-4.69%"
"05/23/2024","176.040","176.955","180.710","167.284","8.44M","-0.56%"
"05/22/2024","177.027","178.179","183.244","175.100","5.95M","-0.65%"
"05/21/2024","178.179","186.752","188.752","174.507","7.58M","-4.61%"
"05/20/2024","186.788","169.932","188.229","167.848","6.98M","9.92%"
"05/19/2024","169.936","172.441","175.372","166.432","3.45M","-1.45%"
"05/18/2024","172.441","169.439","175.983","168.742","3.86M","1.77%"
"05/17/2024","169.441","159.320","171.959","159.301","5.47M","6.36%"
"05/16/2024","159.306","158.285","164.395","156.778","6.09M","0.65%"
"05/15/2024","158.285","142.021","158.730","141.362","6.79M","11.45%"
"05/14/2024","142.023","147.395","148.949","141.927","4.73M","-3.66%"
"05/13/2024","147.411","143.417","150.564","138.008","5.92M","2.78%"
"05/12/2024","143.417","145.389","147.731","142.893","1.92M","-1.36%"
"05/11/2024","145.391","146.032","147.551","143.254","3.06M","-0.44%"
"05/10/2024","146.032","152.814","155.560","144.769","5.90M","-4.43%"
"05/09/2024","152.795","142.169","153.202","140.643","5.30M","7.45%"
"05/08/2024","142.206","148.057","149.925","140.046","6.00M","-3.96%"
"05/07/2024","148.062","152.825","159.087","147.994","5.93M","-3.12%"
"05/06/2024","152.825","145.692","156.586","145.481","6.19M","4.90%"
"05/05/2024","145.692","146.056","147.966","143.255","3.24M","-0.25%"
"05/04/2024","146.057","143.650","147.803","142.376","4.00M","1.68%"
"05/03/2024","143.639","137.645","144.897","136.019","6.31M","4.35%"
"05/02/2024","137.648","134.642","140.670","128.284","7.71M","2.23%"
"05/01/2024","134.643","126.737","135.697","119.180","11.14M","6.24%"
"04/30/2024","126.740","137.718","139.687","121.528","8.60M","-7.95%"
"04/29/2024","137.686","137.973","138.890","133.513","5.85M","-0.15%"
"04/28/2024","137.895","141.306","144.586","137.178","4.14M","-2.41%"
"04/27/2024","141.306","139.104","142.952","133.850","5.50M","1.58%"
"04/26/2024","139.104","144.803","146.034","138.885","5.25M","-3.94%"
"04/25/2024","144.808","147.739","149.438","142.245","7.35M","-1.98%"
"04/24/2024","147.739","154.742","159.748","145.734","8.56M","-4.53%"
"04/23/2024","154.743","156.978","159.976","153.141","5.73M","-1.42%"
"04/22/2024","156.979","148.794","158.372","146.867","6.92M","5.51%"
"04/21/2024","148.785","151.150","153.334","146.915","5.12M","-1.56%"
"04/20/2024","151.138","142.362","152.226","139.718","6.72M","6.17%"
"04/19/2024","142.362","142.076","147.425","128.627","15.07M","0.23%"
"04/18/2024","142.037","131.892","143.720","128.002","10.57M","7.67%"
"04/17/2024","131.919","136.227","142.648","127.087","13.42M","-3.16%"
"04/16/2024","136.227","138.535","140.403","126.639","15.13M","-1.64%"
"04/15/2024","138.499","151.416","155.920","133.876","16.13M","-8.53%"
"04/14/2024","151.412","138.641","152.499","130.816","21.55M","9.21%"
"04/13/2024","138.641","153.255","154.838","119.471","26.82M","-9.55%"
"04/12/2024","153.281","172.374","175.891","142.597","11.54M","-11.11%"
"04/11/2024","172.432","173.313","176.257","170.184","6.30M","-0.52%"
"04/10/2024","173.329","172.389","175.431","163.229","7.87M","0.54%"
"04/09/2024","172.390","180.691","180.853","169.362","6.29M","-4.59%"
"04/08/2024","180.691","179.527","184.501","175.498","5.28M","0.64%"
"04/07/2024","179.541","178.698","182.620","176.961","3.53M","0.47%"
"04/06/2024","178.703","174.370","179.699","173.604","3.91M","2.49%"
"04/05/2024","174.368","184.007","185.025","168.038","6.98M","-5.23%"
"04/04/2024","183.999","185.090","190.099","180.251","5.30M","-0.58%"
"04/03/2024","185.076","181.428","191.625","177.085","6.61M","2.00%"
"04/02/2024","181.446","192.228","192.228","175.973","8.15M","-5.61%"
"04/01/2024","192.224","202.510","204.194","187.311","6.50M","-5.08%"
"03/31/2024","202.510","194.211","203.075","193.747","3.84M","4.27%"
"03/30/2024","194.221","192.105","199.812","190.938","4.94M","1.10%"
"03/29/2024","192.107","189.473","192.949","183.558","5.15M","1.39%"
"03/28/2024","189.482","186.230","190.838","180.923","5.21M","1.77%"
"03/27/2024","186.180","190.460","192.546","180.341","7.23M","-2.25%"
"03/26/2024","190.465","188.977","196.509","186.378","6.33M","0.79%"
"03/25/2024","188.979","183.692","194.458","181.085","7.35M","2.89%"
"03/24/2024","183.676","172.641","186.564","171.392","5.04M","6.39%"
"03/23/2024","172.641","175.077","178.755","170.502","5.04M","-1.40%"
"03/22/2024","175.087","179.403","181.643","167.718","8.20M","-2.41%"
"03/21/2024","179.417","191.772","195.408","175.909","10.33M","-6.50%"
"03/20/2024","191.897","169.890","193.103","162.719","16.47M","12.95%"
"03/19/2024","169.894","195.847","198.548","166.249","21.79M","-13.26%"
"03/18/2024","195.866","201.814","209.917","194.427","14.86M","-2.95%"
"03/17/2024","201.830","182.071","204.396","178.884","13.62M","10.85%"
"03/16/2024","182.079","183.854","197.783","177.242","17.08M","-0.68%"
"03/15/2024","183.334","176.523","188.803","165.177","23.17M","3.86%"
"03/14/2024","176.523","163.914","177.989","159.632","14.17M","7.70%"
"03/13/2024","163.907","151.053","166.580","148.824","10.57M","8.51%"
"03/12/2024","151.054","148.803","154.890","141.877","12.21M","1.52%"
"03/11/2024","148.791","144.413","150.070","136.848","10.64M","3.04%"
"03/10/2024","144.407","144.279","148.515","140.599","6.32M","0.12%"
"03/09/2024","144.238","144.765","149.122","143.799","5.65M","-0.35%"
"03/08/2024","144.748","143.863","152.672","142.149","10.23M","0.60%"
"03/07/2024","143.888","130.733","149.033","130.676","13.99M","10.06%"
"03/06/2024","130.734","125.365","134.886","120.184","11.35M","4.38%"
"03/05/2024","125.249","132.896","142.507","111.792","20.50M","-5.75%"
"03/04/2024","132.896","130.213","134.933","127.540","9.69M","2.05%"
"03/03/2024","130.220","130.078","132.076","124.848","6.20M","0.11%"
"03/02/2024","130.078","129.914","131.620","127.399","5.71M","0.13%"
"03/01/2024","129.914","125.621","137.554","125.602","10.16M","3.44%"
"02/29/2024","125.588","118.878","134.492","117.433","16.95M","5.65%"
"02/28/2024","118.877","108.400","118.877","107.284","14.27M","9.67%"
"02/27/2024","108.398","109.856","112.200","105.667","7.72M","-1.32%"
"02/26/2024","109.851","103.469","110.693","100.352","6.79M","6.16%"
"02/25/2024","103.475","104.012","104.405","102.081","2.45M","-0.52%"
"02/24/2024","104.012","99.828","104.691","98.507","2.96M","4.19%"
"02/23/2024","99.827","101.751","103.084","98.786","4.41M","-1.91%"
"02/22/2024","101.774","105.064","107.045","101.524","4.96M","-3.13%"
"02/21/2024","105.059","108.325","108.341","100.267","6.18M","-2.99%"
"02/20/2024","108.292","111.465","112.092","104.863","7.17M","-2.85%"
"02/19/2024","111.465","112.214","114.772","111.011","4.68M","-0.66%"
"02/18/2024","112.206","108.912","114.033","107.535","3.72M","3.02%"
"02/17/2024","108.913","110.341","111.057","105.826","3.48M","-1.29%"
"02/16/2024","110.341","113.543","114.253","108.211","4.92M","-2.83%"
"02/15/2024","113.555","116.967","118.340","111.556","6.18M","-2.91%"
"02/14/2024","116.959","112.502","118.649","110.714","6.18M","3.96%"
"02/13/2024","112.502","111.803","114.860","108.414","7.12M","0.62%"
"02/12/2024","111.803","107.445","112.211","103.525","7.55M","4.06%"
"02/11/2024","107.439","109.031","110.625","107.289","3.52M","-1.46%"
"02/10/2024","109.032","106.935","110.858","106.914","5.03M","1.99%"
"02/09/2024","106.909","102.771","108.815","102.763","8.23M","4.04%"
"02/08/2024","102.760","101.059","104.912","100.562","7.17M","1.68%"
"02/07/2024","101.058","96.848","101.409","94.755","5.76M","4.34%"
"02/06/2024","96.850","95.626","97.858","93.314","5.53M","1.28%"
"02/05/2024","95.624","95.442","98.633","94.193","4.80M","0.20%"
"02/04/2024","95.435","97.940","98.528","95.106","3.54M","-2.56%"
"02/03/2024","97.940","100.546","101.165","96.709","3.64M","-2.59%"
"02/02/2024","100.542","97.803","102.495","97.452","6.94M","2.80%"
"02/01/2024","97.803","97.040","98.015","93.143","8.65M","0.78%"
"01/31/2024","97.043","101.373","102.581","96.090","10.67M","-4.28%"
"01/30/2024","101.377","101.617","106.318","101.033","8.76M","-0.23%"
"01/29/2024","101.613","95.982","101.880","95.103","7.24M","5.87%"
"01/28/2024","95.982","94.266","99.420","93.422","6.86M","1.89%"
"01/27/2024","94.201","92.272","94.481","90.720","3.54M","2.16%"
"01/26/2024","92.209","86.877","93.662","86.100","6.02M","6.13%"
"01/25/2024","86.880","88.771","89.585","85.173","5.12M","-2.13%"
"01/24/2024","88.769","84.296","89.305","83.315","7.35M","5.30%"
"01/23/2024","84.303","83.841","85.924","79.009","10.07M","0.57%"
"01/22/2024","83.829","91.053","91.867","82.350","8.67M","-7.94%"
"01/21/2024","91.055","92.756","93.892","90.830","2.41M","-1.83%"
"01/20/2024","92.756","93.649","94.230","90.268","3.32M","-0.96%"
"01/19/2024","93.655","94.354","95.309","87.055","7.77M","-0.74%"
"01/18/2024","94.352","102.078","103.424","91.679","7.74M","-7.56%"
"01/17/2024","102.070","97.598","102.691","96.884","8.70M","4.57%"
"01/16/2024","97.607","94.358","98.682","94.189","4.57M","3.40%"
"01/15/2024","94.398","93.900","96.870","93.166","4.49M","0.58%"
"01/14/2024","93.855","95.781","103.110","93.767","7.68M","-2.00%"
"01/13/2024","95.774","92.058","97.039","89.590","5.22M","4.06%"
"01/12/2024","92.039","99.862","100.427","87.660","7.95M","-7.83%"
"01/11/2024","99.862","102.050","107.040","97.780","11.41M","-2.12%"
"01/10/2024","102.024","99.370","105.323","92.350","10.77M","2.67%"
"01/09/2024","99.370","97.899","103.898","95.484","10.42M","1.54%"
"01/08/2024","97.860","89.347","99.910","85.331","12.28M","9.55%"
"01/07/2024","89.328","93.728","96.713","87.928","6.84M","-4.69%"
"01/06/2024","93.728","99.930","100.227","91.618","6.18M","-6.21%"
"01/05/2024","99.930","104.876","105.301","95.605","8.01M","-4.72%"
"01/04/2024","104.876","98.536","108.042","96.776","8.73M","6.43%"
"01/03/2024","98.536","106.720","109.887","86.141","15.16M","-7.67%"
"01/02/2024","106.720","109.728","116.920","106.052","9.66M","-2.65%"
"01/01/2024","109.628","101.590","109.668","101.558","5.57M","7.91%"
"12/31/2023","101.590","101.808","105.151","99.597","4.84M","-0.21%"
"12/30/2023","101.808","106.166","107.360","100.862","4.93M","-4.11%"
"12/29/2023","106.166","101.845","109.726","99.632","11.74M","4.24%"
"12/28/2023","101.845","106.766","109.442","97.302","12.92M","-4.62%"
"12/27/2023","106.782","112.603","115.232","105.099","11.25M","-5.17%"
"12/26/2023","112.603","120.761","121.291","103.265","15.42M","-6.76%"
"12/25/2023","120.761","112.514","125.506","108.164","13.74M","7.37%"
"12/24/2023","112.471","107.948","117.912","107.504","15.82M","4.19%"
"12/23/2023","107.948","97.964","109.638","92.869","10.51M","10.18%"
"12/22/2023","97.972","93.908","99.342","90.659","15.05M","4.31%"
"12/21/2023","93.920","82.164","95.465","81.187","15.31M","14.31%"
"12/20/2023","82.164","73.068","83.992","72.986","13.60M","12.43%"
"12/19/2023","73.078","74.418","76.352","71.833","7.64M","-1.77%"
"12/18/2023","74.394","70.799","75.380","67.130","9.17M","5.17%"
"12/17/2023","70.737","73.733","74.914","70.594","6.50M","-4.05%"
"12/16/2023","73.724","72.503","77.191","71.279","7.21M","1.62%"
"12/15/2023","72.545","75.686","79.454","72.214","11.17M","-4.15%"
"12/14/2023","75.686","70.596","76.186","69.682","9.45M","7.21%"
"12/13/2023","70.598","68.550","72.457","64.058","10.30M","2.99%"
"12/12/2023","68.550","70.297","72.388","65.962","9.92M","-2.48%"
"12/11/2023","70.297","74.871","74.919","65.783","15.88M","-5.96%"
"12/10/2023","74.750","72.317","74.839","70.734","7.65M","3.36%"
"12/09/2023","72.319","74.896","77.550","71.848","11.33M","-3.44%"
"12/08/2023","74.896","67.798","75.242","67.798","14.15M","10.48%"
"12/07/2023","67.791","61.898","69.322","61.677","13.53M","9.53%"
"12/06/2023","61.896","60.959","66.631","60.959","13.83M","1.54%"
"12/05/2023","60.959","61.575","62.548","59.153","7.72M","-1.00%"
"12/04/2023","61.572","62.988","65.243","60.081","10.40M","-2.25%"
"12/03/2023","62.988","63.795","65.419","62.329","6.52M","-1.28%"
"12/02/2023","63.807","59.756","63.898","59.674","6.29M","6.78%"
"12/01/2023","59.754","59.199","61.846","58.614","6.66M","0.94%"
"11/30/2023","59.199","59.292","61.646","58.858","5.67M","-0.16%"
"11/29/2023","59.294","58.184","61.706","57.766","9.66M","1.89%"
"11/28/2023","58.192","55.055","58.634","53.978","7.11M","5.69%"
"11/27/2023","55.060","57.559","58.040","53.590","6.16M","-4.34%"
"11/26/2023","57.559","58.809","59.007","56.260","4.24M","-2.13%"
"11/25/2023","58.809","56.870","59.715","55.895","5.31M","3.42%"
"11/24/2023","56.863","56.412","58.712","56.242","5.28M","0.80%"
"11/23/2023","56.412","57.538","59.506","56.192","6.23M","-1.86%"
"11/22/2023","57.482","51.691","58.825","51.650","9.83M","11.20%"
"11/21/2023","51.691","56.574","57.316","51.401","12.95M","-8.63%"
"11/20/2023","56.574","61.087","61.199","56.234","8.92M","-7.43%"
"11/19/2023","61.114","58.566","62.011","56.724","9.09M","4.38%"
"11/18/2023","58.552","58.497","59.313","54.856","9.19M","0.09%"
"11/17/2023","58.497","57.823","60.442","54.205","14.71M","1.18%"
"11/16/2023","57.815","65.527","68.076","56.552","18.33M","-11.81%"
"11/15/2023","65.555","56.820","67.030","56.234","16.38M","15.37%"
"11/14/2023","56.820","51.639","57.751","51.603","15.40M","9.98%"
"11/13/2023","51.662","56.350","59.800","51.635","14.45M","-8.32%"
"11/12/2023","56.350","56.375","61.823","54.617","13.54M","-0.01%"
"11/11/2023","56.354","56.677","63.576","53.636","18.65M","-0.57%"
"11/10/2023","56.677","45.305","57.442","45.095","19.27M","25.02%"
"11/09/2023","45.335","43.132","48.777","42.529","16.80M","5.12%"
"11/08/2023","43.127","42.946","43.866","42.295","6.00M","0.42%"
"11/07/2023","42.946","42.171","44.442","40.236","12.27M","1.80%"
"11/06/2023","42.187","41.157","42.190","39.687","7.07M","2.51%"
"11/05/2023","41.154","42.426","42.826","40.297","5.78M","-2.99%"
"11/04/2023","42.424","39.454","42.675","39.032","9.18M","7.53%"
"11/03/2023","39.452","40.246","40.250","38.072","12.86M","-1.97%"
"11/02/2023","40.246","41.113","44.501","38.762","18.19M","-2.11%"
"11/01/2023","41.113","38.401","46.479","37.926","25.10M","7.07%"
"10/31/2023","38.398","34.942","38.561","34.862","12.76M","9.89%"
"10/30/2023","34.942","32.830","35.199","32.385","9.62M","6.51%"
"10/29/2023","32.805","31.632","33.142","31.312","4.67M","3.71%"
"10/28/2023","31.632","31.724","32.500","31.413","3.13M","-0.29%"
"10/27/2023","31.724","32.780","33.305","31.456","7.87M","-3.22%"
"10/26/2023","32.780","32.448","33.242","30.777","9.53M","1.04%"
"10/25/2023","32.444","30.160","33.841","30.038","13.17M","7.57%"
"10/24/2023","30.160","31.922","32.552","29.592","13.77M","-5.52%"
"10/23/2023","31.922","29.051","32.709","28.770","15.07M","9.89%"
"10/22/2023","29.049","29.325","29.992","28.123","6.55M","-1.00%"
"10/21/2023","29.343","27.020","30.165","26.665","11.47M","8.60%"
"10/20/2023","27.020","24.927","27.350","24.732","9.71M","8.33%"
"10/19/2023","24.942","23.420","25.434","23.181","7.60M","6.51%"
"10/18/2023","23.417","23.934","24.360","23.380","3.99M","-2.16%"
"10/17/2023","23.934","23.954","24.520","23.579","5.52M","-0.08%"
"10/16/2023","23.952","21.914","24.583","21.900","8.67M","9.30%"
"10/15/2023","21.914","22.000","22.152","21.670","1.82M","-0.35%"
"10/14/2023","21.990","21.838","22.220","21.808","1.55M","0.69%"
"10/13/2023","21.840","21.299","22.175","21.120","2.97M","2.54%"
"10/12/2023","21.299","22.008","22.032","21.032","3.40M","-3.26%"
"10/11/2023","22.015","22.098","22.416","21.630","3.55M","-0.38%"
"10/10/2023","22.098","22.100","22.459","21.703","2.81M","0.01%"
"10/09/2023","22.097","23.222","23.370","21.782","4.87M","-4.85%"
"10/08/2023","23.224","23.301","23.613","23.101","2.21M","-0.34%"
"10/07/2023","23.303","23.701","23.824","23.091","3.43M","-0.77%"
"10/06/2023","23.483","22.670","23.731","22.670","5.05M","3.59%"
"10/05/2023","22.670","23.140","23.730","22.592","4.05M","-2.03%"
"10/04/2023","23.140","23.608","23.776","22.665","4.83M","-1.98%"
"10/03/2023","23.608","23.360","24.697","23.268","7.03M","1.06%"
"10/02/2023","23.360","23.887","24.671","22.930","8.00M","-2.19%"
"10/01/2023","23.883","21.364","24.433","21.138","7.77M","11.79%"
"09/30/2023","21.364","20.280","21.762","20.100","4.41M","5.34%"
"09/29/2023","20.280","19.960","20.424","19.853","3.29M","1.60%"
"09/28/2023","19.960","19.127","19.976","19.105","3.97M","4.35%"
"09/27/2023","19.127","19.026","19.460","18.762","3.39M","0.53%"
"09/26/2023","19.026","19.398","19.520","18.868","2.50M","-1.92%"
"09/25/2023","19.398","19.362","19.736","19.140","2.24M","0.20%"
"09/24/2023","19.358","19.488","19.654","19.278","1.33M","-0.66%"
"09/23/2023","19.488","19.428","19.563","19.290","1.17M","0.31%"
"09/22/2023","19.428","19.463","19.780","19.172","2.36M","-0.18%"
"09/21/2023","19.463","20.292","20.292","19.313","4.02M","-4.11%"
"09/20/2023","20.297","20.030","20.508","19.818","3.43M","1.33%"
"09/19/2023","20.030","19.650","20.362","19.582","3.76M","1.95%"
"09/18/2023","19.648","18.822","20.122","18.613","4.87M","4.39%"
"09/17/2023","18.822","19.130","19.132","18.682","1.31M","-1.61%"
"09/16/2023","19.130","19.143","19.421","18.885","1.83M","-0.05%"
"09/15/2023","19.140","18.852","19.433","18.567","2.91M","1.54%"
"09/14/2023","18.850","18.398","19.300","18.398","5.38M","2.46%"
"09/13/2023","18.398","17.912","18.520","17.708","5.12M","2.72%"
"09/12/2023","17.910","17.738","18.690","17.570","5.94M","0.98%"
"09/11/2023","17.736","18.238","18.438","17.396","6.02M","-2.71%"
"09/10/2023","18.230","19.432","19.440","17.850","6.86M","-6.19%"
"09/09/2023","19.432","19.608","19.610","19.385","846.26K","-0.91%"
"09/08/2023","19.610","19.904","20.270","19.395","2.43M","-1.48%"
"09/07/2023","19.904","19.640","19.990","19.340","2.92M","1.34%"
"09/06/2023","19.640","20.258","20.370","19.206","4.10M","-3.05%"
"09/05/2023","20.258","19.520","20.571","19.047","5.07M","3.80%"
"09/04/2023","19.517","19.572","19.998","19.181","2.62M","-0.28%"
"09/03/2023","19.572","19.500","19.668","19.256","1.34M","0.37%"
"09/02/2023","19.500","19.322","19.678","19.146","1.73M","0.92%"
"09/01/2023","19.322","19.737","19.920","19.080","3.33M","-2.05%"
"08/31/2023","19.727","20.812","21.008","19.481","4.82M","-5.21%"
"08/30/2023","20.812","21.792","21.958","20.600","3.17M","-4.50%"
"08/29/2023","21.792","20.568","21.982","20.118","6.61M","5.95%"
"08/28/2023","20.568","20.790","20.790","20.086","2.10M","-1.07%"
"08/27/2023","20.790","20.288","20.908","20.240","1.37M","2.47%"
"08/26/2023","20.288","20.420","20.422","20.206","937.78K","-0.65%"
"08/25/2023","20.420","21.058","21.058","20.096","2.95M","-3.03%"
"08/24/2023","21.058","21.738","22.018","20.684","3.36M","-3.13%"
"08/23/2023","21.738","20.584","21.784","20.448","4.59M","5.61%"
"08/22/2023","20.584","21.192","21.262","19.557","4.50M","-2.86%"
"08/21/2023","21.190","21.770","21.772","20.448","3.36M","-2.65%"
"08/20/2023","21.768","21.900","22.014","21.596","1.34M","-0.60%"
"08/19/2023","21.900","21.346","22.150","21.308","2.11M","2.59%"
"08/18/2023","21.348","21.698","22.172","20.976","4.84M","-1.62%"
"08/17/2023","21.700","22.816","23.416","20.265","7.70M","-4.89%"
"08/16/2023","22.816","23.920","24.016","22.438","5.48M","-4.72%"
"08/15/2023","23.946","25.180","25.280","23.744","4.84M","-4.89%"
"08/14/2023","25.176","24.230","25.271","24.117","3.66M","3.90%"
"08/13/2023","24.230","24.902","24.940","24.216","2.34M","-2.70%"
"08/12/2023","24.902","24.616","25.128","24.396","2.25M","1.15%"
"08/11/2023","24.618","24.605","24.898","24.354","2.94M","0.05%"
"08/10/2023","24.605","24.385","24.860","24.135","3.08M","0.90%"
"08/09/2023","24.385","24.210","24.984","24.122","4.70M","0.72%"
"08/08/2023","24.210","23.117","24.740","23.026","5.92M","4.77%"
"08/07/2023","23.109","23.197","23.579","22.418","3.78M","-0.38%"
"08/06/2023","23.197","22.648","23.432","22.578","3.07M","2.42%"
"08/05/2023","22.648","22.796","22.926","22.311","2.16M","-0.65%"
"08/04/2023","22.796","22.640","23.558","22.508","4.07M","0.69%"
"08/03/2023","22.640","23.148","23.372","22.484","3.63M","-2.19%"
"08/02/2023","23.148","24.050","24.234","22.930","4.22M","-3.59%"
"08/01/2023","24.010","23.722","24.040","23.012","4.53M","1.22%"
"07/31/2023","23.720","24.250","24.780","23.608","3.99M","-2.19%"
