"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2024","0.9997","0.9997","1.0000","0.9996","182.79M","0.00%"
"11/02/2024","0.9997","0.9995","0.9998","0.9995","169.57M","0.02%"
"11/01/2024","0.9995","0.9987","0.9997","0.9985","479.17M","0.08%"
"10/31/2024","0.9987","0.9998","1.0000","0.9984","461.29M","-0.11%"
"10/30/2024","0.9998","0.9997","1.0000","0.9996","412.20M","0.03%"
"10/29/2024","0.9995","0.9994","0.9999","0.9990","587.40M","0.02%"
"10/28/2024","0.9994","0.9988","0.9997","0.9985","637.23M","0.05%"
"10/27/2024","0.9988","0.9989","0.9991","0.9986","217.59M","0.00%"
"10/26/2024","0.9989","0.9980","0.9990","0.9980","342.96M","0.08%"
"10/25/2024","0.9980","0.9994","0.9995","0.9971","1.23B","-0.14%"
"10/24/2024","0.9994","0.9990","0.9995","0.9988","928.06M","0.05%"
"10/23/2024","0.9990","0.9994","0.9994","0.9986","845.14M","-0.04%"
"10/22/2024","0.9994","0.9996","0.9997","0.9992","583.50M","-0.02%"
"10/21/2024","0.9996","0.9997","0.9998","0.9991","481.21M","-0.01%"
"10/20/2024","0.9997","0.9998","0.9999","0.9996","165.29M","-0.01%"
"10/19/2024","0.9998","0.9999","1.0000","0.9996","101.49M","-0.01%"
"10/18/2024","0.9999","0.9997","1.0000","0.9995","451.50M","0.01%"
"10/17/2024","0.9997","0.9999","0.9999","0.9994","285.74M","-0.01%"
"10/16/2024","0.9999","0.9999","1.0000","0.9997","520.64M","0.00%"
"10/15/2024","0.9999","0.9998","0.9999","0.9994","486.16M","0.01%"
"10/14/2024","0.9997","1.0000","1.0000","0.9991","343.41M","-0.02%"
"10/13/2024","0.9999","1.0002","1.0005","0.9998","172.45M","-0.03%"
"10/12/2024","1.0002","0.9997","1.0003","0.9996","164.75M","0.05%"
"10/11/2024","0.9997","0.9992","0.9999","0.9990","361.24M","0.06%"
"10/10/2024","0.9992","0.9992","0.9992","0.9987","418.75M","0.00%"
"10/09/2024","0.9991","0.9994","0.9995","0.9990","403.67M","-0.03%"
"10/08/2024","0.9994","0.9998","0.9999","0.9993","484.94M","-0.04%"
"10/07/2024","0.9998","1.0000","1.0001","0.9997","348.69M","-0.02%"
